Acronym,Full Name,Type,Primary Identifier,Secondary Identifier,Tertiary Identifier
A10,dopaminergic cell group A10,cell_type,UBERON:0036005,,
A11,dopaminergic cell group A11,cell_type,UBERON:0036006,,
A12,dopaminergic cell group A12,cell_type,UBERON:0036009,,
A14,dopaminergic cell group A14,cell_type,UBERON:0036001,,
A15,dopaminergic cell group A15,cell_type,UBERON:0036002,,
A16,dopaminergic cell group A16,cell_type,UBERON:0036008,,
A8,dopaminergic cell group A8,cell_type,UBERON:0036000,,
A9,dopaminergic cell group A9,cell_type,UBERON:0036003,,
ABC,arachnoid barrier cell,cell_type,CL:4023097,,
Astro,astrocyte,cell_type,CL:0000127,,
Astroependymal,astroependymal cell,cell_type,,,
B-cells,B cell,cell_type,CL:0000236,,
BAM,border-associated macrophage,cell_type,CL:4042003,,
Bergmann,Bergmann glial cell,cell_type,CL:0000644,,
chandelier,chandelier cell,cell_type,CL:4023083,,
CHOR,choroid plexus epithelial cell,cell_type,CL:0000706,,
COP,committed oligodendrocyte precursor,cell_type,CL:4023059,,
CR,Cajal-Retzius cell,cell_type,CL:0000695,,
D1,D1 medium spiny neuron,cell_type,CL:4023026,,
D2,D2 medium spiny neuron,cell_type,CL:4023029,,
D3,D3 dopamine receptor expressing cell,cell_type,,,
DC,dendritic cell,cell_type,CL:0000451,,
Endo,endothelial cell,cell_type,CL:0000115,,
Epen,ependymal cell,cell_type,CL:0000065,,
Ependymal,ependymal cell,cell_type,CL:0000065,,
Ex,excitatory neuron,cell_type,,,
Golgi,cerebellar Golgi cell,cell_type,CL:0000119,,
Granule,granule cell,cell_type,CL:0000120,,
Hypendymal,hypendymal ,cell_type,CL:4023181,,
ILC,innate lymphoid cell,cell_type,CL:0001065,,
Immune,leukocyte,cell_type,CL:0000738,,
IMN,immature neuron,cell_type,,,
Inh,inhibitory interneuron,cell_type,CL:0000498,,
Lymphoid,lymphocyte,cell_type,CL:0000542,,
MFOL,myelin-forming oligodendrocyte,cell_type,,,
Microglia,microglial cell,cell_type,CL:0000129,,
MOL,mature oligodendrocyte,cell_type,,,
Monocytes,monocyte,cell_type,CL:0000576,,
NFOL,newly formed oligodendrocyte,cell_type,,,
NK-cells,natural killer cell,cell_type,CL:0000623,,
NN,non-neuronal cell,cell_type,,,
OEC,olfactory ensheathing cell,cell_type,CL:0011028,,
Oligo,oligodendrocyte,cell_type,CL:0000128,,
OPC,oligodendrocyte precursor cell,cell_type,CL:0002453,,
Peri,pericyte,cell_type,CL:0000669,,
