cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
0	18.20000000	48.50000000	mua	1773.20751953	17	12.50000000	1.67350307		3948	1.00000000
1	32.90000000	14.80000000	good	3372.63818359	17	12.50000000	1.10591933		2609	1.00000000
2	14.70000000	89.50000000	mua	1053.36242676	2	25.00000000	0.85116367		2008	1.00000000
3	15.80000000	29.60000000	mua	1932.96166992	1	0.00000000	7.88046998		18591	1.00000000
4	18.20000000	29.90000000	mua	1667.36791992	3	37.50000000	1.30980863		3090	1.00000000
5	17.70000000	51.30000000	mua	1575.94018555	2	25.00000000	4.21342970		9940	1.00000000
6	15.00000000	51.80000000	mua	1898.81738281	5	62.50000000	4.00487765		9448	1.00000000
7	14.60000000	113.10000000	mua	2000.88366699	5	62.50000000	4.11932695		9718	1.00000000
8	14.40000000	88.10000000	mua	1846.39343262	5	62.50000000	2.11307315		4985	1.00000000
9	14.50000000	61.70000000	mua	970.16064453	4	50.00000000	0.77825523		1836	1.00000000
10	16.40000000	35.90000000	mua	1187.03906250	5	62.50000000	2.14274519		5055	1.00000000
11	14.80000000	56.50000000	mua	1091.22717285	20	75.00000000	0.59174526		1396	1.00000000
12	28.50000000	21.70000000	mua	3011.99731445	4	50.00000000	0.46330771		1093	1.00000000
13	14.60000000	87.00000000	mua	1435.54858398	22	87.50000000	0.29968761		707	1.00000000
14	15.30000000	63.50000000	mua	1553.62280273	4	50.00000000	0.21745367		513	1.00000000
15	53.40000000	0.00000000	good	6667.15234375	20	75.00000000	0.63455777		1497	1.00000000
16	18.00000000	74.30000000	mua	1560.82678223	22	87.50000000	3.40083969		8023	1.00000000
17	15.20000000	53.30000000	mua	848.46917725	23	112.50000000	0.35267339		832	1.00000000
18	14.20000000	94.40000000	mua	1256.10522461	23	112.50000000	0.15217518		359	1.00000000
19	16.90000000	79.50000000	mua	1358.76733398	23	112.50000000	1.98590726		4685	1.00000000
20	15.60000000	57.00000000	mua	1327.71667480	7	137.50000000	11.42161604		26945	1.00000000
21	16.60000000	52.10000000	mua	1679.18286133	18	125.00000000	6.03486908		14237	1.00000000
22	42.00000000	84.30000000	mua	3524.73461914	7	137.50000000	5.23245234		12344	1.00000000
23	24.60000000	94.80000000	mua	2085.75146484	7	137.50000000	7.50829782		17713	1.00000000
24	15.10000000	46.40000000	mua	1173.63452148	16	150.00000000	0.67228365		1586	1.00000000
25	15.70000000	39.70000000	mua	1593.38732910	16	150.00000000	2.58824968		6106	1.00000000
26	25.80000000	50.30000000	mua	2678.15917969	16	150.00000000	2.05966347		4859	1.00000000
27	14.80000000	6.90000000	good	1250.28234863	21	187.50000000	0.57945256		1367	1.00000000
28	35.30000000	17.70000000	good	4342.07812500	21	187.50000000	0.58199587		1373	1.00000000
29	34.70000000	0.00000000	good	3991.77514648	0	175.00000000	0.21321480		503	1.00000000
30	20.30000000	49.40000000	mua	2492.28173828	0	175.00000000	0.79775399		1882	1.00000000
31	15.30000000	55.60000000	mua	1405.58471680	21	187.50000000	2.74084874		6466	1.00000000
32	14.10000000	44.80000000	mua	1049.27807617	30	12.50000000	1.17755611		2778	2.00000000
33	13.70000000	37.00000000	mua	901.17199707	30	12.50000000	0.32427301		765	2.00000000
34	14.00000000	37.70000000	mua	918.26269531	12	37.50000000	0.39124704		923	2.00000000
35	24.80000000	0.00000000	good	2127.64111328	13	25.00000000	0.07036512		166	2.00000000
36	14.40000000	79.80000000	mua	929.34887695	11	50.00000000	1.05166188		2481	2.00000000
37	15.00000000	0.00000000	good	1100.50366211	13	25.00000000	0.21618201		510	2.00000000
38	14.90000000	42.30000000	mua	1242.58679199	11	50.00000000	1.21994474		2878	2.00000000
39	14.20000000	20.60000000	mua	999.68139648	10	62.50000000	0.52180402		1231	2.00000000
40	13.60000000	94.10000000	mua	826.98071289	25	87.50000000	0.41795188		986	2.00000000
41	14.70000000	24.20000000	mua	1144.14453125	25	87.50000000	2.41827127		5705	2.00000000
42	18.00000000	96.20000000	mua	1380.91918945	31	150.00000000	1.67943747		3962	2.00000000
43	14.30000000	41.20000000	mua	812.23974609	8	137.50000000	0.26450504		624	2.00000000
44	13.80000000	59.70000000	mua	861.15881348	8	137.50000000	0.43957008		1037	2.00000000
45	52.20000000	0.00000000	good	4541.66748047	29	125.00000000	0.22974637		542	2.00000000
46	27.90000000	0.00000000	good	2173.51440430	29	125.00000000	1.02834814		2426	2.00000000
47	15.40000000	61.00000000	mua	1124.86694336	29	125.00000000	2.52254730		5951	2.00000000
48	18.30000000	64.70000000	mua	1831.20104980	8	137.50000000	1.55523879		3669	2.00000000
49	17.00000000	57.70000000	mua	1429.98193359	15	175.00000000	11.47036296		27060	2.00000000
50	16.30000000	87.20000000	mua	1650.67749023	9	162.50000000	1.63959216		3868	2.00000000
51	55.00000000	74.10000000	mua	4559.50683594	15	175.00000000	2.08297722		4914	2.00000000
52	26.00000000	93.30000000	mua	2179.73681641	31	150.00000000	5.84157694		13781	2.00000000
53	24.50000000	87.30000000	mua	2056.47924805	15	175.00000000	5.86107571		13827	2.00000000
54	14.80000000	16.10000000	good	1119.85229492	15	175.00000000	1.42722513		3367	2.00000000
55	14.50000000	9.00000000	good	1530.14794922	26	187.50000000	1.57940031		3726	2.00000000
56	13.90000000	102.60000000	mua	1305.42590332	26	187.50000000	0.28061272		662	2.00000000
57	14.90000000	87.20000000	mua	1076.98803711	15	175.00000000	0.49891416		1177	2.00000000
