DAY,Neuralynx_ID,EXPER,HEMISPHERE,PROBE,COORDINATES_SHANK_1,COORDINATES_SHANK_2,STRAIN,AGE,SEX,DEPTH
2025-02-06,13-06-34,001-001,RH,H10b,"0,0","0,0",C57,P79,F,1156.00
2025-02-06,14-03-05,001-002,RH,H10b,"0,0","0,0",C57,P79,F,1209.00
2025-02-06,15-36-59,001-004,RH,H10b,"0,0","0,0",C57,P79,F,1003.00
2025-02-06,15-53-03,001-005,RH,H10b,"0,0","0,0",C57,P79,F,1003.00
2025-02-20,16-19-12,001-001,RH,H10b,"0,0","0,0",Mecp2 HET,P79,F,1191.40
2025-02-20,17-04-02,001-002,RH,H10b,"0,0","0,0",Mecp2 HET,P79,F,1191.40
2025-02-20,17-22-57,001-003,RH,H10b,"0,0","0,0",Mecp2 HET,P79,F,1191.40
2025-02-21,16-30-12,001-003,RH,P1,"0,0","250,0",Mecp2 HET,P80,F,1175.44
2025-02-21,16-49-11,001-004,RH,P1,"0,0","250,0",Mecp2 HET,P80,F,1175.44
2025-02-21,17-08-37,001-005,RH,P1,"0,0","250,0",Mecp2 HET,P80,F,1175.44
2025-03-24,11-00-10,001-001,RH,P1,"0,0","250,0",Shank3 KO,P74,F,1201.20
2025-03-24,11-18-58,001-002,RH,P1,"0,0","250,0",Shank3 KO,P74,F,1201.20
2025-03-25,11-28-58,001-001,RH,P1,"0,0","250,0",Shank3 KO,P75,F,1175.72
2025-03-25,11-46-30,001-002,RH,P1,"0,0","250,0",Shank3 KO,P75,F,1175.72
2025-03-25,12-31-57,001-003,RH,P1,"-147.56,215.04","102.44,215.04",Shank3 KO,P75,F,1104.04
2025-03-25,12-48-48,001-004,RH,P1,"-147.56,215.04","102.44,215.04",Shank3 KO,P75,F,1104.04
2025-04-03,11-18-50,001-001,RH,P1,"0,0","250,0",C57,P41,F,1188.60
2025-04-03,11-38-39,001-002,RH,P1,"0,0","250,0",C57,P41,F,1188.60
2025-04-05,11-30-51,001-001,RH,P1,"0,0","250,0",Mecp2 HET,P64,F,1046.36
2025-04-05,11-50-43,001-002,RH,P1,"0,0","250,0",Mecp2 HET,P64,F,1046.36
2025-04-06,13-26-57,001-001,RH,P1,"0,0","250,0",Mecp2 HET,P65,F,1142.96
2025-04-06,13-51-14,001-002,RH,P1,"0,0","250,0",Mecp2 HET,P65,F,1142.96
2025-04-11,18-09-55,001-002,RH,H10b,"0,0","0,0",Mecp2 HET,P59,F,1086.12
2025-04-25,12-42-03,001-001,RH,P1,"0,0","250,0",Shank3 KO,P54,M,1075.48
2025-05-27,13-23-48,001-001,LH,P1,"0,0","250,0",Shank3 KO,P81,M,1199.64
2025-06-02,15-13-06,001-001,LH,P1,"0,0","250,0",Shank3 KO,P87,M,1152.20
2025-06-03,13-59-05,001-001,LH,P1,"0,0","250,0",Shank3 KO,P88,M,1170.40
2025-06-06,14-52-03,001-001,LH,P1,"0,0",250.0,Shank3 KO,P90,F,1154.72
2025-06-12,16-11-15,001-001,LH,P1,"0,0","250,0",Shank3 KO,P75,M,1101.52
2025-06-20,14-29-41,001-001,LH,P1,"0,0","250,0",Shank3 KO,P83,F,1162.28
2025-06-25,12-33-31,001-001,LH,P1,"0,0","250,0",C57,P65,F,1088.64
2025-07-03,11-45-06,001-001,LH,P1,"0,0","250,0",C57,P70,M,1154.84
2025-07-09,14-56-27,001-001,LH,P1,"0,0","250,0",C57,P79,F,1156.84
2025-07-24,12-48-13,001-001,LH,P1,"0,0","250,0",C57,P68,M,1177.14
2025-07-30,09-28-20,001-001,LH,P1,"0,0","250,0",Mecp2 HET,P67,F,1170.80
