"trial","sample","cell","time_in_ms","recording_name","hemi","genotype","sex","age","region"
2,1181,1,118.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
3,1286,1,128.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
3,13537,1,1353.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
4,691,1,69.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
4,2404,1,240.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
4,3746,1,374.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
4,4866,1,486.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
4,8234,1,823.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
5,190,1,19,"20080930002","LH","CBA/J","M","P30:60","ACx"
5,2602,1,260.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
5,4137,1,413.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
5,10246,1,1024.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
6,4311,1,431.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
6,7847,1,784.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
6,8394,1,839.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
6,9727,1,972.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
6,10871,1,1087.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
6,12055,1,1205.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
6,13790,1,1379,"20080930002","LH","CBA/J","M","P30:60","ACx"
7,1619,1,161.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
7,3234,1,323.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
7,4423,1,442.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
7,5409,1,540.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
7,6298,1,629.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
7,8092,1,809.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
7,9245,1,924.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
7,10964,1,1096.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
7,12074,1,1207.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
9,807,1,80.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
9,2395,1,239.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
9,5219,1,521.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
9,9366,1,936.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
9,10939,1,1093.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
21,3440,1,344,"20080930002","LH","CBA/J","M","P30:60","ACx"
22,6824,1,682.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
22,14010,1,1401,"20080930002","LH","CBA/J","M","P30:60","ACx"
23,8078,1,807.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
23,13957,1,1395.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
24,315,1,31.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
24,10562,1,1056.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
25,719,1,71.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
27,265,1,26.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
28,3446,1,344.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
29,9155,1,915.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
30,3044,1,304.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
32,853,1,85.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
32,4458,1,445.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
32,8476,1,847.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
33,2166,1,216.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
33,3670,1,367,"20080930002","LH","CBA/J","M","P30:60","ACx"
